Product_Name,Pricing,Ratings
Apple iPhone SE (Space Grey, 32 GB),Rs.18999
Apple iPhone 6 (Space Grey, 32 GB),Rs.25199
Apple iPhone SE (Rose Gold, 32 GB),Rs.18999
Apple iPhone 6 (Gold, 32 GB),Rs.25699
Apple iPhone SE (Gold, 32 GB),Rs.18999
Apple iPhone 7 (Black, 32 GB),Rs.45999
Apple iPhone 6s Plus (Gold, 32 GB),Rs.38999
Apple iPhone 6s Plus (Space Grey, 32 GB),Rs.38999
Apple iPhone 6s Plus (Rose Gold, 32 GB),Rs.40789
Apple iPhone 7 (Jet Black, 32 GB),Rs.46999
Apple iPhone 6s (Rose Gold, 32 GB),Rs.36999
Apple iPhone 6s (Space Grey, 32 GB),Rs.36999
Apple iPhone 6s (Gold, 32 GB),Rs.37999
Apple iPhone 8 (PRODUCT)RED (Red, 64 GB),Rs.67940Up to 
Apple iPhone 8 Plus (Space Grey, 64 GB),Rs.72999
Apple iPhone 7 (Gold, 32 GB),Rs.46999
Apple iPhone 8 Plus (PRODUCT)RED (Red, 256 GB),Rs.91110Up to 
Apple iPhone SE (Rose Gold, 128 GB),Rs.28490
Apple iPhone X (Space Gray, 256 GB),Rs.99999
Apple iPhone 6s (Silver, 32 GB),Rs.38999
Apple iPhone SE (Silver, 32 GB),Rs.20999
Apple iPhone 8 Plus (PRODUCT)RED (Red, 64 GB),Rs.77560Up to 
Apple iPhone 7 (Jet Black, 128 GB),Rs.56999
Apple iPhone 8 (Gold, 64 GB),Rs.62999
